object_id,Title,Date,Technique,Collection ID,Collection,Place,Tags,Copyright,Creator,URL
156,Пам'ятник Адаму Міцкевичу під час Другої світової війни,1941-1944,Photograph,19_pict,Тарас Піняжко,Львів,"Площа Маріацька, пам'ятник Адаму Міцкевичу, кам'яниця Левицьких",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/156
158,Опера,1941-1944,Photograph,19_pict,Тарас Піняжко,Львів,"Oперний театр, площа, рекламна тумба, електричні",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/158
159,Львівська політехніка,1941-1944,Photograph,19_pict,Тарас Піняжко,Львів,"Політехніка, вулиця, парк",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/159
160,Ратуша,1941-1944,Photograph,19_pict,Тарас Піняжко,Львів,"Будинок ратуші, вежа",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/160
161,"Площа Ринок, північно-східна частина",1941-1944,Photograph,19_pict,Тарас Піняжко,Львів,"Ринок, будинки, фонтани, перехожі",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/161
162,Церква Св. Юра,1941-1944,Postcards,19_pict,Тарас Піняжко,Львів,"церква, будівлі, парк",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/162
163,Пам'ятник королю Яну ІІІ Собєському,1941-1944,Photograph,19_pict,Тарас Піняжко,Львів,"пам'ятник, площа Св. Духа, Театр, перехожі",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/163
164,Стрийський парк,1941-1944,Photograph,2_pict,Центр міської історії Центрально Східної Європи,Львів,"Стрийський парк, алея, шпалери",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/164
165,"Фонтан ""Світезянка""",1941-1944,Other Fine Prints,2_pict,Центр міської історії Центрально Східної Європи,Львів,"Фонтан, Міська ощадна каса, Латинська катедра",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/165
166,Панорама міста,1941-1944,Photograph,19_pict,Тарас Піняжко,Львів,"Панорама міста, куполи, ратуша",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/166
167,Університет,1941-1944,Photograph,19_pict,Тарас Піняжко,Львів,"Університет, парк, міська зелень",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/167
169,Церква Св. Андрія Апостола,1927-1930,Postcards,19_pict,Тарас Піняжко,Львів,"Костел Св. Андрія, монастир бернардинців, дзвіниця,  колона Св. Яна з Дуклі","невідомий;Видавництво салону польських художників, Краків;Тарас Піняжко","невідомий;Видавництво салону польських художників, Краків;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/169
170,Вид на площу Соборну,1932-1933,Postcards,19_pict,Тарас Піняжко,Львів,"Площа Бернардинська, дзвіниця Бернардинського костелу,  будинки, сквер, вежа  Корнякта, ратуші, катедри, бернардинського костелу","невідомий;""Полонія"", Краків;Тарас Піняжко","невідомий;""Полонія"", Краків;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/170
171,Успенська церква,1932-1938,Postcards,19_pict,Тарас Піняжко,Львів,"Церква, німецька гімназія","Станіслав Тондос;Видавництво польського товариства залізничних книгарень ""Рух"";Тарас Піняжко","Станіслав Тондос;Видавництво польського товариства залізничних книгарень ""Рух"";Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/171
172,"Навчальний корпус ""Львівської політехніки""",1915,Postcards,19_pict,Тарас Піняжко,Львів,"Монастир Сакр-кер, сквер","невідомий;Друкарня В. Шийковського, Львів;Тарас Піняжко","невідомий;Друкарня В. Шийковського, Львів;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/172
173,Вівтар Серця Ісусова,1937,Postcards,19_pict,Тарас Піняжко,Львів,"Костел Св. Ельжбети, вівтар","Владислав Бенеш;Друкарня Св. Войцеха, Познань;Тарас Піняжко","Владислав Бенеш;Друкарня Св. Войцеха, Познань;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/173
179,Площа Св. Духа на акварелі,1899-1902,Postcards,5_pict,Музей мистецтва давньої української книги ЛГМ,Львів,"Площа Св. Духа, костел, вежа Ратуші та Латинської катедри, трамвай","Станіслав Тондос;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ","Станіслав Тондос;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ",https://uma.lvivcenter.org/uk/photos/179
180,Нічний вид на Оперний театр,1910,Postcards,5_pict,Музей мистецтва давньої української книги ЛГМ,Львів,"Міський театр, перехожі, нічний вигляд","Одо Добровольський;Леон Пропст, Львів;Музей мистецтва давньої української рукописної книги ЛГМ","Одо Добровольський;Леон Пропст, Львів;Музей мистецтва давньої української рукописної книги ЛГМ",https://uma.lvivcenter.org/uk/photos/180
181,Вулиця 3 Травня,1918,Postcards,5_pict,Музей мистецтва давньої української книги ЛГМ,Львів,"Вулиця 3 Травня, перехожі, автомобіль","невідомий;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ","невідомий;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ",https://uma.lvivcenter.org/uk/photos/181
182,Художньо-промисловий музей,1905-1909,Postcards,5_pict,Музей мистецтва давньої української книги ЛГМ,Львів,"Художньо-промисловий музей, перехожі, реклама","невідомий;Ян Бромільскі, Львів;Музей мистецтва давньої української рукописної книги ЛГМ","невідомий;Ян Бромільскі, Львів;Музей мистецтва давньої української рукописної книги ЛГМ",https://uma.lvivcenter.org/uk/photos/182
183,Вулиця Сикстуська,1917,Postcards,5_pict,Музей мистецтва давньої української книги ЛГМ,Львів,"Вулиця Сикстуська, перехожі, трамвай","невідомий;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ","невідомий;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ",https://uma.lvivcenter.org/uk/photos/183
184,Гетьманські Вали,1939,Postcards,5_pict,Музей мистецтва давньої української книги ЛГМ,Львів,"Гетьманські Вали, перехожі, велосипедист","невідомий;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ","невідомий;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ",https://uma.lvivcenter.org/uk/photos/184
185,Вулиця Гетьманська,1918,Postcards,5_pict,Музей мистецтва давньої української книги ЛГМ,Львів,"Вулиця Гетьманська, Художньо-промисловий музей, Преображенську церкву","невідомий;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ","невідомий;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ",https://uma.lvivcenter.org/uk/photos/185
186,Вулиця Карла Людвіга,1914-1915,Postcards,5_pict,Музей мистецтва давньої української книги ЛГМ,Львів,"Вулиця Карла Людвіга, Галицька ощадна каса, філія Празького ощадного банку","невідомий;Aрнольд і Шлaг, Львів;Музей мистецтва давньої української рукописної книги ЛГМ","невідомий;Aрнольд і Шлaг, Львів;Музей мистецтва давньої української рукописної книги ЛГМ",https://uma.lvivcenter.org/uk/photos/186
187,Вулиця Академічна,1917,Postcards,5_pict,Музей мистецтва давньої української книги ЛГМ,Львів,"Вулиця Академічна, Торгово-промислова палата, будинки","невідомий;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ","невідомий;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ",https://uma.lvivcenter.org/uk/photos/187
188,"Площа Мар'яцка, будинок Шпрехера",1921-1939,Postcards,5_pict,Музей мистецтва давньої української книги ЛГМ,Львів,"Площа Мар'яцка, будинок Шпрехера, ліхтарі, перехожі","невідомий;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ","невідомий;Видавництво салону польських художників, Краків;Музей мистецтва давньої української рукописної книги ЛГМ",https://uma.lvivcenter.org/uk/photos/188
